idpozo,sigla,formprod,coordenadax,coordenaday
212,CH.CH.EaLE.x-1,CORI,-68.287853,-45.591133
213,CH.CH.EaLE.x-2,CORI,-68.292019,-45.592025
214,CH.CH.EaLE-3,CORI,-68.283878,-45.590244
215,CH.CH.EaLE-4,CORI,-68.289483,-45.594069
216,CH.CH.EaLE-5,CORI,-68.294475,-45.59445
217,CH.CH.EaLE-6,CORI,-68.297317,-45.592686
218,Ch.CH.EaLE-7,CORI,-68.295372,-45.590272
219,CH.CH.EaLE-8,CORI,-68.299844,-45.594703
220,CH.CH.EaLE-9,CORI,-68.303228,-45.591589
221,CH.CH.EaLE-10,CORI,-68.291519,-45.596242
222,CH.CH.EaLE-11,CORI,-68.297681,-45.598533
223,CH.CH.EaLE.a-12,CORI,-68.308306,-45.593331
224,CH.CH.EaLE-13,CORI,-68.303256,-45.589025
225,CH.CH.EaLE-14,CORI,-68.303611,-45.595806
226,CH.CH.EaLE-15,CORI,-68.2887,-45.588769
227,CH.CH.EaLE-16,CORI,-68.284833,-45.586967
228,CH.CH.EaLE-17,CORI,-68.280292,-45.587281
229,CH.CH.EaLE-18,CORI,-68.293414,-45.584439
230,CH.CH.EaLE-19,CORI,-68.300142,-45.583978
231,CH.CH.EaLE-20,CORI,-68.289206,-45.585664
232,CH.CH.EaLE-21,CORI,-68.292978,-45.58775
233,CH.CH.EaLE-22,CORI,-68.2975,-45.586639
234,CH.CH.EaLE-23,CORI,-68.299769,-45.589844
235,CH.CH.EaLE-25,CORI,-68.297239,-45.584439
236,CH.CH.EaLE.a-27,CORI,-68.317473,-45.602776
237,CH.CH.EaLE.a-31,CORI,-68.321642,-45.608628
238,CH.CH.EaLE-32,CORI,-68.323083,-45.61155
239,CH.CH.EaLE-33,CORI,-68.326522,-45.609833
240,CH.CH.EaLE-34,CORI,-68.330817,-45.608972
241,CH.CH.EaLE-35,CORI,-68.318128,-45.6104
242,CH.CH.EaLE-36,CORI,-68.334294,-45.610283
243,CH.CH.EaLE-37,CORI,-68.321989,-45.610083
244,CH.CH.EaLE-38,CORI,-68.328183,-45.607797
245,CH.CH.EaLE.ia-39,FIMP,-68.330267,-45.612018
246,CH.CH.EaLE.a-41,FIMP,-68.330111,-45.616381
251,CH.CH.PV.x-1,CORI,-68.652106,-45.638503
252,CAP.CH.T.x-1,CORI,-68.293156,-45.580489
261,YPF.Ch.LMo.e-7,FIMP,-69.7223295427937,-45.9884776943075
262,YPF.Ch.LMo.x-3,BBAR,-69.728617720984,-45.963084133135
263,YPF.Ch.LMN.x-1,FIMP,-69.76095504971,-45.9089267773969
264,YPF.Ch.LMN.x-2,FIMP,-69.7100355879893,-45.9374784666141
265,YPF.Ch.LMN.x-3,BBAR,-69.7393987864253,-45.9103728776602
266,YPF.Ch.LMN.x-4,BBAR,-69.7308852505075,-45.9373380203208
267,YPF.Ch.LMN.x-5,BBAR,-69.6881441225311,-45.9836953081165
268,YPF.Ch.LMN.x-6,FIMP,-69.7621560207225,-45.9580429531461
269,YPF.Ch.LMN.x-7,FIMP,-69.7818896486519,-45.9220292287304
