Marca temporal,"Indicá tu altura en cm sin decimales",Indicá tu peso en Kg sin decimales,Sexo con el que más me identifico,Cuantas letras tiene tu nombre (indicar el número entero en formato numérico) 
15/09/2022 20:32:28,180,85,Varon,8
15/09/2022 20:32:34,170,63,Varon,7
15/09/2022 20:32:47,174,82,Varon,8
15/09/2022 20:37:29,167,50,Mujer,5
15/09/2022 20:39:05,175,78,Varon,8
15/09/2022 20:39:32,184,75,Varon,5
15/09/2022 20:43:58,170,72,Varon,7
15/09/2022 20:44:26,182,70,Varon,9
15/09/2022 20:46:09,175,93,Varon,10
15/09/2022 20:47:08,169,68,Mujer,3
15/09/2022 20:49:05,178,89,Varon,9
15/09/2022 20:55:29,174,78,Varon,8
15/09/2022 21:10:44,175,82,Varon,6
15/09/2022 21:43:27,176,84,Varon,9
15/09/2022 21:43:47,160,57,Mujer,9
15/09/2022 21:43:51,165,70,Mujer,6
15/09/2022 21:43:52,179,62,Mujer,8
15/09/2022 21:43:53,175,77,Varon,7
15/09/2022 21:43:55,175,68,Varon,8
15/09/2022 21:43:55,176,80,Varon,5
15/09/2022 21:43:55,171,110,Varon,7
15/09/2022 21:43:57,180,82,Varon,6
15/09/2022 21:43:57,178,105,Varon,5
15/09/2022 21:44:00,179,83,Varon,7
15/09/2022 21:44:00,161,62,Mujer,6
15/09/2022 21:44:02,174,79,Varon,8
15/09/2022 21:44:02,175,68,Varon,6
15/09/2022 21:44:02,186,77,Varon,5
15/09/2022 21:44:04,180,78,Varon,4
15/09/2022 21:44:08,178,74,Varon,8
15/09/2022 21:44:10,183,66,Varon,7
15/09/2022 21:44:14,168,62,Mujer,7
15/09/2022 21:44:22,169,88,Varon,5
15/09/2022 21:44:24,179,75,Varon,7
15/09/2022 21:44:33,178,75,Varon,19
15/09/2022 21:45:13,166,60,Varon,5
15/09/2022 21:46:06,174,75,Varon,5
15/09/2022 21:47:29,160,60,Mujer,5
15/09/2022 21:49:12,170,90,Varon,7
15/09/2022 21:51:57,179,78,Varon,7
