title,price,available_quantity,sold_quantity,listing_type_id,thumbnail_id,tags,use_thumbnail_id,order_backend,seller__id,seller__tags,seller__seller_reputation__transactions__total,seller__seller_reputation__transactions__canceled,seller__seller_reputation__transactions__ratings__negative,seller__seller_reputation__transactions__ratings__positive,seller__seller_reputation__transactions__ratings__neutral,seller__seller_reputation__transactions__completed,seller__seller_reputation__metrics__claims__rate,seller__seller_reputation__metrics__claims__value,seller__seller_reputation__metrics__claims__period,seller__seller_reputation__metrics__delayed_handling_time__rate,seller__seller_reputation__metrics__delayed_handling_time__value,seller__seller_reputation__metrics__delayed_handling_time__period,seller__seller_reputation__metrics__sales__period,seller__seller_reputation__metrics__sales__completed,seller__seller_reputation__metrics__cancellations__rate,seller__seller_reputation__metrics__cancellations__value,seller__seller_reputation__metrics__cancellations__period,seller__seller_reputation__level_id,prices__prices,prices__reference_prices,installments__quantity,installments__amount,installments__rate,shipping__free_shipping,shipping__mode,shipping__tags,shipping__logistic_type,days_remaining,years_active
Apple iPhone 11 (128 Gb) - Negro,180000.0,13,4,gold_special,865864-MLA46114990464_052021,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed', 'best_seller_candidate']",True,1,229760470,"['normal', 'user_info_verified', 'credits_profile', 'messages_as_seller', 'messages_as_buyer']",5697,400,0.04,0.94,0.02,5297,0.0146,16,60 days,0.1195,123,60 days,60 days,1027,0.01,11,60 days,5_green,"[{'id': '4', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 180000, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-30T11:19:32Z'}]",[],12,25525.5,70.17,True,me2,"['self_service_in', 'mandatory_free_shipping']",cross_docking,7246,4
Apple iPhone 11 (64 Gb) - Blanco,168890.0,1,2,gold_special,809326-MLA46115014340_052021,"['extended_warranty_eligible', 'good_quality_picture', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed', 'best_seller_candidate']",True,2,6673807,"['normal', 'user_info_verified', 'credits_profile', 'messages_as_seller', 'messages_as_buyer']",42,6,0.0,1.0,0.0,36,0.0,2,365 days,0.0263,1,365 days,365 days,36,0.0,0,365 days,5_green,"[{'id': '26', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 168890, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-29T17:33:09Z'}]",[],12,23950.01,70.17,True,me2,['mandatory_free_shipping'],drop_off,7191,14
Apple iPhone 12 Pro (128 Gb) - Grafito,271842.0,1,5,gold_special,637846-MLA46081340098_052021,"['good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed', 'best_seller_candidate']",True,3,208137579,"['normal', 'user_info_verified', 'medium_seller', 'credits_profile', 'mshops', 'messages_as_seller', 'messages_as_buyer']",37945,1865,0.02,0.97,0.01,36080,0.006,54,60 days,0.002,18,60 days,60 days,8509,0.0035,32,60 days,5_green,"[{'id': '2', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 271842, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-22T18:36:39Z'}]",[],12,38549.46,70.17,True,me2,"['self_service_in', 'mandatory_free_shipping']",cross_docking,7177,5
Apple iPhone XR 128 Gb - (product)red,169990.0,1,4,gold_special,947164-MLA46545534835_062021,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",True,4,17846983,"['normal', 'user_info_verified', 'mshops', 'credits_profile', 'messages_as_seller', 'messages_as_buyer']",1226,118,0.0,0.99,0.01,1108,0.0159,3,60 days,0.0828,14,60 days,60 days,171,0.0159,3,60 days,5_green,"[{'id': '13', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 169990, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-19T20:04:13Z'}]",[],12,24106.0,70.17,True,me2,"['self_service_in', 'mandatory_free_shipping']",xd_drop_off,6985,18
iPhone 11 Pro Max 256 Gb Oro,276000.0,1,0,gold_special,821932-MLA32647234063_102019,"['good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment']",True,5,79049297,"['normal', 'user_info_verified', 'credits_priority_4', 'credits_profile', 'mshops', 'messages_as_seller', 'messages_as_buyer']",2245,190,0.0,1.0,0.0,2055,0.0,2,60 days,0.0,0,60 days,60 days,469,0.0,0,60 days,5_green,"[{'id': '5', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 276000, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-05-30T17:15:11Z'}]",[],12,39139.1,70.17,False,not_specified,['me2_available'],not_specified,7170,16
Apple iPhone 12 Mini (128 Gb) - Azul,209990.0,100,3,gold_special,760330-MLA46041863429_052021,"['loyalty_discount_eligible', 'brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",True,6,17846983,"['normal', 'user_info_verified', 'mshops', 'credits_profile', 'messages_as_seller', 'messages_as_buyer']",1226,118,0.0,0.99,0.01,1108,0.0159,3,60 days,0.0828,14,60 days,60 days,171,0.0159,3,60 days,5_green,"[{'id': '13', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 209990, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-06-23T15:24:03Z'}]",[],12,29778.33,70.17,True,me2,"['self_service_in', 'mandatory_free_shipping']",xd_drop_off,7068,18
Apple iPhone 12 Pro Max (512 Gb) - Grafito,325000.0,1,0,gold_special,848434-MLA46088620346_052021,"['good_quality_picture', 'immediate_payment', 'cart_eligible']",True,7,146938664,"['normal', 'user_info_verified', 'eshop', 'mshops', 'messages_as_seller', 'messages_as_buyer']",117,11,0.0,1.0,0.0,106,0.0,1,60 days,0.1744,15,60 days,60 days,89,0.0,0,60 days,3_yellow,"[{'id': '3', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 325000, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-26T02:54:48Z'}]",[],12,46087.71,70.17,True,me2,['mandatory_free_shipping'],drop_off,7294,7
Apple iPhone 11 Pro 64gb 4 Gb Ram Silver Garantia Oficial,295000.0,1,0,gold_special,667769-MLA43441773767_092020,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",False,8,15096445,"['normal', 'user_info_verified', 'credits_profile', 'eshop', 'mshops', 'messages_as_seller', 'messages_as_buyer']",49388,3052,0.02,0.98,0.0,46336,0.0159,57,60 days,0.0325,111,60 days,60 days,3310,0.0139,50,60 days,5_green,"[{'id': '15', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 295000, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-05-19T23:05:27Z'}, {'id': '19', 'type': 'promotion', 'conditions': {'context_restrictions': [], 'start_time': '2021-07-05T02:30:00Z', 'end_time': '2021-08-02T03:00:00Z', 'eligible': True}, 'amount': 295000, 'regular_amount': 345000, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MLA6424', 'promotion_id': 'MLA6424', 'promotion_type': 'campaign'}, 'last_updated': '2021-07-05T02:48:45Z'}]",[],12,41833.46,70.17,True,me2,"['self_service_out', 'mandatory_free_shipping']",cross_docking,6987,14
iPhone 11 Pro Max 64 Gb Gris Espacial,245999.0,1,0,gold_special,645254-MLA32646972200_102019,"['good_quality_picture', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",True,9,15385454,"['normal', 'user_info_verified', 'eshop', 'credits_profile', 'messages_as_seller', 'messages_as_buyer']",556,63,0.03,0.95,0.02,493,0.0395,22,365 days,0.0655,34,365 days,365 days,493,0.0107,6,365 days,3_yellow,"[{'id': '1', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 245999, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-03-08T15:35:47Z'}]",[],12,34884.71,70.17,True,me2,['mandatory_free_shipping'],drop_off,7155,14
"iPhone 11 Negro, En Caja  No Carga La Batería. ",55000.0,1,0,gold_special,665145-MLA45882035838_052021,"['incomplete_technical_specs', 'poor_quality_picture', 'poor_quality_thumbnail', 'extended_warranty_eligible', 'immediate_payment', 'cart_eligible']",False,10,163212697,"['normal', 'user_info_verified', 'credits_profile', 'messages_as_seller', 'messages_as_buyer']",7,1,0.0,1.0,0.0,6,0.0,1,365 days,0.0,0,365 days,365 days,6,0.0,0,365 days,,"[{'id': '2', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 55000, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-25T03:54:45Z'}]",[],12,7799.46,70.17,True,me2,['mandatory_free_shipping'],drop_off,7285,7
Apple iPhone 11 (128 Gb) - Negro Nuevos Sellados Garantia ,180000.0,1,1,gold_special,865864-MLA46114990464_052021,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",False,11,229760470,"['normal', 'user_info_verified', 'credits_profile', 'messages_as_seller', 'messages_as_buyer']",5697,400,0.04,0.94,0.02,5297,0.0146,16,60 days,0.1195,123,60 days,60 days,1027,0.01,11,60 days,5_green,"[{'id': '4', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 180000, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-30T11:19:46Z'}]",[],12,25525.5,70.17,True,me2,"['self_service_in', 'mandatory_free_shipping']",cross_docking,7246,4
iPhone 12 Pro 256gb Caja Sellada Garantía Apple,410000.0,1,4,gold_special,645451-MLA44598319487_012021,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",False,12,89910928,"['normal', 'user_info_verified', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller', 'messages_as_buyer']",3722,386,0.0,0.99,0.01,3336,0.0045,4,60 days,0.0035,3,60 days,60 days,809,0.0,0,60 days,5_green,"[{'id': '14', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 410000, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-23T13:42:37Z'}]","[{'id': '10', 'type': 'was', 'conditions': {'context_restrictions': [], 'start_time': '2021-03-17T04:28:10Z', 'end_time': '2021-03-20T04:28:10Z', 'eligible': True}, 'amount': 373332.4, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'tags': [], 'last_updated': '2021-03-17T04:28:10Z'}]",12,58141.42,70.17,True,me2,"['self_service_in', 'mandatory_free_shipping']",xd_drop_off,6939,15
iPhone 11 Pro 256 Gb Gris Espacial Sellado Mwcm2ll/a _ap,268065.0,1,0,gold_special,924317-MLA32446773467_102019,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",False,13,278897053,"['normal', 'user_info_verified', 'credits_profile', 'messages_as_seller', 'messages_as_buyer']",1022,60,0.02,0.98,0.0,962,0.0,1,60 days,0.0198,3,60 days,60 days,177,0.0,0,60 days,5_green,"[{'id': '12', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 268065, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-20T18:29:56Z'}]",[],12,38013.85,70.17,True,me2,['mandatory_free_shipping'],drop_off,7116,3
iPhone 12 Pro Max 256gb Vs. Colores Caja Sellada Gtía Apple,441500.0,1,0,gold_special,825399-MLA44598357993_012021,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",False,14,89910928,"['normal', 'user_info_verified', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller', 'messages_as_buyer']",3722,386,0.0,0.99,0.01,3336,0.0045,4,60 days,0.0035,3,60 days,60 days,809,0.0,0,60 days,5_green,"[{'id': '5', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 441500, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-23T14:10:32Z'}]",[],12,62608.38,70.17,True,me2,"['self_service_in', 'mandatory_free_shipping']",xd_drop_off,6974,15
Apple iPhone 11 (64 Gb) - Blanco,183639.0,1,3,gold_special,809326-MLA46115014340_052021,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",False,15,45582473,"['normal', 'user_info_verified', 'eshop', 'credits_profile', 'mshops', 'messages_as_seller', 'messages_as_buyer']",96,18,0.0,1.0,0.0,78,0.0,2,60 days,0.1923,5,60 days,60 days,68,0.047,4,60 days,2_orange,"[{'id': '13', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 183639, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-25T14:52:08Z'}]",[],12,26041.54,70.17,True,me2,['mandatory_free_shipping'],xd_drop_off,7247,7
iPhone 11 Pro 64 Gb Plata,338799.0,4,0,gold_pro,891435-MLA32613434435_102019,"['brand_verified', 'good_quality_picture', 'immediate_payment', 'shipping_guaranteed']",True,16,661660917,"['normal', 'user_info_verified', 'credits_profile', 'messages_as_seller', 'messages_as_buyer']",402,34,0.0,1.0,0.0,368,0.0,1,60 days,0.0,0,60 days,60 days,103,0.0,2,60 days,5_green,"[{'id': '2', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 338799, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-04-11T06:45:38Z'}]",[],9,37644.33,0.0,True,me2,"['self_service_in', 'mandatory_free_shipping']",xd_drop_off,7033,0
