X;Y;ID;NOMBRE;CALLE;ALTURA;CALLE2;DIRECCION;CIRCUNSCRI;TELEFONOS;OBSERVACIO;OBSERVAC_1;BARRIO;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO
-58,4689436878227;-34,6831212290818;44;COMISARIA 52;ANA DIAZ;5651;;DIAZ, ANA 5651;VIII;4638-8888/9482/4683-2221;;;VILLA LUGANO;VILLA LUGANO;COMUNA 8;1439;C1439CRC
-58,4746492080703;-34,6791693924514;25;COMISARIA 48;LEGUIZAMON MARTINIANO;4377;;LEGUIZAMON, MARTINIANO 4377;VIII;4601-3333/4379/4474/4602-3333;;;VILLA LUGANO;VILLA LUGANO;COMUNA 8;1439;C1439FSE
-58,5011656573568;-34,6619939312268;22;COMISARIA 42;DE LA TORRE LISANDRO;2343;;DE LA TORRE, LISANDRO AV. 2343;VIII;4687-3333/6478;;;MATADEROS;MATADEROS;COMUNA 9;1440;C1440ECL
-58,4319812938046;-34,6603948301002;19;COMISARIA 36;PEDERNERA;3405;;PEDERNERA 3405;VIII;4918-1708/3333;;;VILLA SOLDATI;VILLA SOLDATI;COMUNA 8;1437;C1437BIG
-58,4028302089945;-34,6419495347828;55;COMISARIA COMUNA 4;ZAVALETA;425;;ZAVALETA 425;;5091-6100 /4309-9700/4309-9604;ESTA COMISARIA CUENTA CON UNA DEPENDENCIA DEL MINISTERIO PUBLICO FISCAL;;PARQUE PATRICIOS;PARQUE PATRICIOS;COMUNA 4;1437;C1437EYI
-58,5050865271280;-34,6399669235671;54;COMISARIA 54;BASUALDO;165;;BASUALDO 165;VIII;4635-2011;;;VILLA LURO;VILLA LURO;COMUNA 10;1408;C1408HUC
-58,3749085897491;-34,6380627211311;13;COMISARIA 26;MONTES DE OCA MANUEL;861;;MONTES DE OCA, MANUEL 861;IV;4301-3333;;;BARRACAS;BARRACAS;COMUNA 4;1270;C1270AAI
-58,4008312914517;-34,6364511577294;16;COMISARIA 32;CASEROS;2724;;CASEROS AV. 2724;IV;4911-3333/6416;;;PARQUE PATRICIOS;PARQUE PATRICIOS;COMUNA 4;1264;C1264AAU
-58,3899715394156;-34,6361700367974;14;COMISARIA 28;VELEZ SARSFIELD;170;;VELEZ SARSFIELD AV. 170;IV;4304-4444/ 4305-8383/4306-0666;;;BARRACAS;BARRACAS;COMUNA 4;1282;C1282
-58,3605875827934;-34,6341692070378;12;COMISARIA 24;PINZON;456;;PINZON 456;IV;4361-4444 /4362-6875;;;BOCA;BOCA;COMUNA 4;1161;C1161ACJ
