X,Y,NOMBRE
-58.4689436878227,-34.6831212290818,COMISARIA 52
-58.4746492080703,-34.6791693924514,COMISARIA 48
-58.5011656573568,-34.6619939312268,COMISARIA 42
-58.4319812938046,-34.6603948301002,COMISARIA 36
-58.4028302089945,-34.6419495347828,COMISARIA COMUNA 4
-58.5050865271280,-34.6399669235671,COMISARIA 54
-58.3749085897491,-34.6380627211311,COMISARIA 26
-58.4008312914517,-34.6364511577294,COMISARIA 32
-58.3899715394156,-34.6361700367974,COMISARIA 28
-58.3605875827934,-34.6341692070378,COMISARIA 24
-58.5240388490474,-34.6295361234334,COMISARIA 44
-58.4837795082987,-34.6288066853747,COMISARIA 43
-58.4249262384203,-34.6286410416508,COMISARIA 10
-58.4480872125897,-34.6267799123199,COMISARIA 12
-58.4032266269794,-34.6260322318379,COMISARIA 20
-58.3728761245520,-34.6245638595814,COMISARIA 14
-58.3856077728846,-34.6226700503651,COMISARIA 16
-58.4532210423583,-34.6203822656691,COMISARIA 13
-58.3785774936627,-34.6171616104688,COMISARIA 4
-58.4092109498915,-34.6170545865481,COMISARIA 8
-58.3665903701676,-34.6149735222436,COMISARIA 22
-58.3936751080702,-34.6148898243296,COMISARIA 6
-58.4729911435276,-34.6111204124573,COMISARIA 41
-58.4155587634678,-34.6044286003643,COMISARIA 9
-58.3947891246572,-34.6034184155356,COMISARIA 5
-58.4040106409430,-34.6032111757525,COMISARIA 7
-58.3888958784312,-34.6019397377213,COMISARIA 3
-58.3732447121941,-34.6019061749623,COMISARIA 1
-58.4410843014064,-34.5993205592476,COMISARIA 27
-58.5156058774718,-34.5983146485397,COMISARIA 45
-58.3801780189881,-34.5946429122572,COMISARIA 15
-58.4067192920302,-34.5940785225935,COMISARIA 19
-58.4276086108198,-34.5924421143164,COMISARIA 25
-58.4526312696985,-34.5921591177849,COMISARIA 29
-58.3923585768206,-34.5911369458734,COMISARIA 17
-58.4512303932828,-34.5904201897966,COMISARIA COMUNA 15
-58.4993672554820,-34.5897128349577,COMISARIA 47
-58.4159273031662,-34.5877320976925,COMISARIA 21
-58.3694497390626,-34.5842523880991,COMISARIA 46
-58.4201379203008,-34.5825222330524,COMISARIA 23
-58.4136589185154,-34.5812697229336,COMISARIA 53
-58.4900574089335,-34.5786894695053,COMISARIA 39
-58.4389557998154,-34.5733085675013,COMISARIA 31
-58.4758210914332,-34.5731162803379,COMISARIA 37
-58.4562848137145,-34.5601447691271,COMISARIA 33
-58.4440680276915,-34.5548216469012,COMISARIA 51
-58.4909092368637,-34.5511030842355,COMISARIA COMUNA 12
-58.3747272916205,-34.6472840502920,COMISARIA 30
-58.4763367065064,-34.6414623106390,COMISARIA 40
-58.4582560028220,-34.6309235325510,COMISARIA 38
-58.3907486682826,-34.6225867587760,COMISARIA 18
-58.3741471240845,-34.6202784886290,COMISARIA 2
-58.4648209215308,-34.6161137159670,COMISARIA 50
-58.4395014329687,-34.6089785701230,COMISARIA 11
-58.4825254468868,-34.5651450980170,COMISARIA 49
-58.4633266271395,-34.5513755049490,COMISARIA 35
-58.4171560073913,-34.6447947419400,COMISARIA 34
