ID;LAT;LNG;DCIA;TIPO;CUARTEL;GESTION;CALLE_OFIC;INTERS;ALTURA;DIRECC;CPA;TEL;BARRIO;COMUNA;OBSERVACION
1;-34.577526346867664;-58.435809486911573;SECCION PALERMO;DESTACAMENTO;;POLICIA FEDERAL ARGENTINA;GUATEMALA;;5966;5966 GUATEMALA;C1425BVP;4772-2222;PALERMO;COMUNA 14;
2;-34.644895236961659;-58.487654084070471;SECCION RIESGO FORESTAL VELEZ SARSFIELD;DESTACAMENTO;;POLICIA FEDERAL ARGENTINA;RODO JOSE E.;;4474;4474 RODO JOSE E.;C1407HDR;4671-2222;PARQUE AVELLANEDA;COMUNA 9;BRIGADA ESPECIAL FEDERAL DE RESCATE (BEFER)
3;-34.630275485373481;-58.435414855166322;SECCION GER CABALLITO;DESTACAMENTO;;POLICIA FEDERAL ARGENTINA;RIGLOS;;959;959 RIGLOS;C1424AFS;4921-2737;PARQUE CHACABUCO;COMUNA 7;BRIGADA ESPECIAL FEDERAL DE RESCATE (BEFER)
4;-34.55331750743926;-58.479216427517649;SECCION GER SAAVEDRA;DESTACAMENTO;;POLICIA FEDERAL ARGENTINA;JARAMILLO;;3551;3551 JARAMILLO;C1430AGC;4542-2222;SAAVEDRA;COMUNA 12;BRIGADA ESPECIAL FEDERAL DE RESCATE (BEFER)
5;-34.613320845174229;-58.388147588803363;DIVISION CUARTEL I CORONEL J. M. CALAZA;CUARTEL;I;POLICIA FEDERAL ARGENTINA;BELGRANO AV;;1547;1547 BELGRANO AV;C1093AAD;4370-5858;MONSERRAT;COMUNA 1;
6;-34.636474665736991;-58.403009760214893;DIVISION CUARTEL II PATRICIOS;CUARTEL;II;POLICIA FEDERAL ARGENTINA;CASEROS;;2849;2849 CASEROS;C1264AAI;4943-2222;PARQUE PATRICIOS;COMUNA 4;
7;-34.65874291268382;-58.417003108435388;SECCION NUEVA POMPEYA;DESTACAMENTO;;POLICIA FEDERAL ARGENTINA;SAENZ;;1475;1475 SAENZ;C1437DOG;4911-4852;NUEVA POMPEYA;COMUNA 4;
8;-34.637280773032103;-58.367343851634175;DIVISION CUARTEL III BARRACAS;CUARTEL;III;POLICIA FEDERAL ARGENTINA;BRANDSEN;;1046;1046 BRANDSEN;C1161ABD;4301-2222;BOCA;COMUNA 4;
9;-34.58998079676546;-58.402437178081975;DIVISION CUARTEL IV RECOLETA;CUARTEL;IV;POLICIA FEDERAL ARGENTINA;LAPRIDA;;1739;1739 LAPRIDA;C1425EKO;4826-9222;RECOLETA;COMUNA 2;
10;-34.560109817895807;-58.457105845367167;DIVISION CUARTEL V BELGRANO;CUARTEL;V;POLICIA FEDERAL ARGENTINA;VUELTA DE OBLIGADO;;2254;2254 VUELTA DE OBLIGADO;C1428ADJ;4783-0820;BELGRANO;COMUNA 13;
11;-34.579028032901697;-58.489880525598096;SECCION VILLA URQUIZA;DESTACAMENTO;;POLICIA FEDERAL ARGENTINA;OLAZABAL;;5446;5446 OLAZABAL;C1431CGX;4521-2222;VILLA URQUIZA;COMUNA 12;
12;-34.598679299844669;-58.440390262770613;DIVISION CUARTEL VI VILLA CRESPO;CUARTEL;VI;POLICIA FEDERAL ARGENTINA;CORRIENTES;;5340;5340 CORRIENTES;C1414AJT;4854-2222;VILLA CRESPO;COMUNA 15;
