property_type	place_name	country_name	state_name	lat	lon	price	currency	surface_total_in_m2
PH	Mataderos	Argentina	Capital Federal	-34.6618237	-58.5088387	62000.0	USD	55.0
apartment	Mataderos	Argentina	Capital Federal	-34.6522615	-58.5229825	72000.0	USD	55.0
apartment	Belgrano	Argentina	Capital Federal	-34.5598729	-58.443362	138000.0	USD	45.0
apartment	Belgrano	Argentina	Capital Federal	-34.5598729	-58.443362	195000.0	USD	65.0
PH	Mataderos	Argentina	Capital Federal	-34.6523561177	-58.5016239381	239000.0	USD	140.0
apartment	Palermo	Argentina	Capital Federal	-34.580503566	-58.4058744847	350000.0	USD	104.0
apartment	Palermo	Argentina	Capital Federal	-34.590926	-58.4116653	270500.0	USD	118.0
apartment	Flores	Argentina	Capital Federal	-34.635117947800005	-58.4739639408	75000.0	USD	43.0
apartment	Boedo	Argentina	Capital Federal	-34.6217693287	-58.4221081951	145000.0	USD	80.0
apartment	Las Cañitas	Argentina	Capital Federal	-34.571149600000005	-58.4232966	480000.0	USD	220.0
house	Puerto Madero	Argentina	Capital Federal	-34.6177194	-58.3620561	70000.0	USD	80.0
apartment	Balvanera	Argentina	Capital Federal	-34.60967479999999	-58.3986588	240000.0	USD	141.0
house	Boedo	Argentina	Capital Federal	-34.636320899999994	-58.4107019	550000.0	USD	504.0
apartment	Caballito	Argentina	Capital Federal	-34.6222111	-58.43912829999999	110000.0	USD	50.0
apartment	Caballito	Argentina	Capital Federal	-34.623894314299996	-58.4468606529	170500.0	USD	100.0
apartment	Caballito	Argentina	Capital Federal	-34.6209278	-58.44587360000001	220410.0	USD	81.0
apartment	Caballito	Argentina	Capital Federal	-34.6209278	-58.44587360000001	222780.0	USD	81.0
store	Belgrano	Argentina	Capital Federal	-34.5639725	-58.456535	250000.0	USD	30.0
apartment	Caballito	Argentina	Capital Federal	-34.6287865	-58.42778320000001	108000.0	USD	70.0
apartment	Nuñez	Argentina	Capital Federal	-34.553577600000004	-58.45551139999999	173000.0	USD	50.0
apartment	Boedo	Argentina	Capital Federal	-34.6187769485	-58.4026450688	72900.0	USD	38.0
house	Floresta	Argentina	Capital Federal	-34.6280255	-58.46624789999999	219500.0	USD	600.0
PH	Barracas	Argentina	Capital Federal	-34.65045	-58.382404	160000.0	USD	156.0
apartment	Recoleta	Argentina	Capital Federal	-34.5994274	-58.4015856	380000.0	USD	196.0
PH	Palermo	Argentina	Capital Federal	-34.585483	-58.428493	315000.0	USD	240.0
store	Congreso	Argentina	Capital Federal	-34.606296659	-58.3921889684	295000.0	USD	103.0
apartment	Villa Crespo	Argentina	Capital Federal	-34.5976786	-58.4430195	73800.0	USD	42.0
apartment	Villa Crespo	Argentina	Capital Federal	-34.5972900112	-58.4476543572	72000.0	USD	44.0
apartment	Las Cañitas	Argentina	Capital Federal	-34.56457657510001	-58.4372870022	235000.0	USD	68.0
apartment	Belgrano	Argentina	Capital Federal	-34.5620844	-58.4566864	240000.0	USD	57.0
store	Chacarita	Argentina	Capital Federal	-34.5901808	-58.449152100000006	175000.0	USD	80.0
apartment	Belgrano	Argentina	Capital Federal	-34.5621457	-58.449657	550000.0	USD	160.0
apartment	Villa Crespo	Argentina	Capital Federal	-34.5976786	-58.4430195	62000.0	USD	33.0
apartment	Belgrano	Argentina	Capital Federal	-34.565318065999996	-58.44175186020001	1100000.0	USD	310.0
